420466,P,2002-05-15,33886,1,10.72,6.18,,
420467,P,2001-01-09,85611,1,2.63,1.62,,
420468,P,2002-07-08,61177,4,15.17,7.54,,
420469,P,2000-05-03,54633,9,46.68,3.64,,
420470,P,2001-06-24,94573,7,71.93,5.21,,
420471,P,2001-08-21,89601,1,70.85,1.34,,
420472,P,2000-03-05,27273,2,12.31,5.49,,
420473,P,2001-06-09,15039,4,8.12,7.86,,
420474,P,2002-04-07,53692,3,5.17,6.75,,
420475,P,2000-10-27,89033,7,85.73,2.30,,
420476,P,2000-11-19,92867,6,41.73,4.22,,
420477,P,2000-09-18,4604,2,49.90,2.52,,
420478,P,2001-04-01,71320,10,57.44,1.34,,
420479,P,2000-12-13,38941,5,18.98,3.45,,
420480,P,2000-01-21,55848,1,0.05,5.36,,
420481,P,2001-09-23,94267,10,22.94,7.62,,
420482,P,2000-03-10,82820,6,47.66,4.86,,
420483,P,2001-06-23,77984,8,46.47,1.15,,
420484,P,2002-07-31,76721,5,32.31,3.13,,
420485,P,2000-12-31,30141,6,9.75,6.95,,
420486,P,2002-07-15,15130,8,52.99,3.88,,
420487,P,2002-06-14,15353,9,22.48,3.12,,
420488,P,2000-08-23,18756,6,62.28,1.62,,
420489,P,2001-03-30,58700,2,93.38,8.24,,
420490,P,2000-08-15,25169,7,33.49,3.11,,
420491,P,2002-09-26,7106,7,26.64,5.34,,
420492,P,2002-02-16,69017,4,20.95,1.61,,
420493,P,2002-04-17,71966,3,12.34,0.93,,
420494,P,2000-03-20,72134,2,41.23,4.91,,
420495,P,2000-07-15,50375,3,37.03,0.10,,
420496,P,2000-06-23,18787,1,4.97,3.31,,
420497,P,2000-06-26,60860,1,87.98,1.54,,
420498,P,2000-03-26,82325,8,85.74,1.13,,
420499,P,2001-11-16,63306,2,19.58,4.70,,
420500,P,2002-04-21,25037,8,98.32,5.64,,
420501,P,2002-01-10,53343,7,71.15,7.16,,
420502,P,2001-03-28,19842,7,35.82,7.43,,
420503,P,2000-05-03,60450,2,94.31,8.58,,
420504,P,2000-10-17,92538,6,21.28,1.01,,
420505,P,2000-10-07,70082,9,16.43,9.39,,
420506,P,2002-07-21,43850,10,34.29,3.23,,
420507,P,2000-01-21,46420,6,90.92,6.18,,
420508,P,2001-12-21,87088,2,51.45,4.10,,
420509,P,2002-02-03,79062,9,62.06,1.80,,
